"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105008754995.188","112343514636.514","121157504598.338","129873049506.93","137806197694.12","147900975209.509","157420603395.793","167325146303.33","177965478376.263","188912743211.697","203418206724.302","218559239145.056","230463472731.358","246152172424.17","266015461713.869","292288029436.196","321404279212.91","353413232011.633","381885501580.95","403626330537.423","431294060065.991","468647816773.515","532553859722.85","577776460458.473","627516703644.248","671359529456.477","736379109928.489","791891204668.818","897767805988.755","997249695284.319","1104316059486.83","1247561124482.2","1431168528200.45","1569834703342.05","1676747750351.48","1783873538488.96",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65801890504.5358","62282048474.4313","59068755557.1773","59573807755.5376","61952011125.7641","65086693950.3694","57276921250.08","47800256794.101","51010944186.6999","47685789556.7675","52486661576.8277","55745880726.4402","61023632700.6243","65439996516.2329","70999149830.2785","78821736273.3028","86694311160.6349","96744914592.094","107495192363.395","105622629901.322","110595938429.843","115716766085.834","119284959937.322","120959648888.106","127259120537.2","131974715792.619","143025290746.688","151834605221.488","161044349003.171","177100351578.409","179173759133.676","201459421189.973","234814142581.771","250316793450.96","270343833634.098","285967351546.676",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13849100372.048","15925300296.1204","17377895953.9684","20079358096.3099","20456821719.4372","21706545440.9762","23012414559.9135","24133299648.402","25573503153.7807","27050614773.8428","29129541485.3798","30527388692.6916","32039893082.4956","34729663754.2071","38153235357.7726","42013080198.5334","46109468097.2286","51286604418.5455","55539312162.2365","57301203503.6804","60511365799.6826","62950607636.3072","68563454589.6353","70567575887.0546","71379476259.9094","65822385264.1269","67525760773.3312","75332756767.7388","78150406940.0445","83979879528.4482","78668739612.8244","82671890844.1512","94024583668.9275","101285001027.71","106806443006.379","113620836223.026",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5468500283.68978","5417020162.02767","5328511069.35841","5471604368.14732","5764409068.3299","6142972182.90589","6519635759.57532","6717468095.60822","7113373809.75562","7729413187.27151","8232411264.49857","8638831360.05409","9010386267.99499","9072055567.69518","9398213125.15589","10022068527.375","10591125241.2845","11035373905.888","10986629740.8259","10592824921.3321","10886526704.2086","11179257851.7336","11652886944.3095","11480182878.3561","12128852901.2596","12384087314.253","12528462792.3855","13386673556.9062","13834540972.566","14254082379.9356","10769304826.4195","12313201284.2481","14623662058.5341","15627027677.6759","16556039743.5585","",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4638932509.70576","4347498687.73247","4160350128.61079","4166061143.93325","4728681534.66189","5598749240.36193","8791286316.17363","12219662367.6432","14410279582.6355","16005700376.5963","17254490086.8633","17999375365.2625","19535753934.3872","20546707551.4022","22392189312.7876","24398008077.415","27910779311.9505","30847632975.3726","33896792726.6188","33747001507.088","34630137933.4667","36525499685.9754","37145682743.233","39027202675.8723","39811484294.7063","41678736713.3277","44799811684.6359","46722936529.9667","50326162060.6447","54962802410.7946","54010142683.1758","59338515900.5739","69388143492.1472","74455244050.19","79574675069.8909","81059241792.5348",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53193233755.0668","54332225353.0038","50235620780.4513","47517963155.9159","42854253864.1338","39202485400.4298","41037957767.5172","46504640751.2218","50977578755.0883","53456725794.562","57838349006.2877","61935267852.9875","66071097819.689","72120938827.4759","82540052120.9581","93130096684.449","105602279441.195","117791170670.619","132306851751.702","133389134343.518","145473507868.578","156715098657.899","171127080561.616","179553714196.485","179879739572.13","171562717858.933","168862491607.69","174175435650.665","189020934305.568","210075611346.388","233301042735.647","256855349956.29","262307820040.802","283238528052.614","302896269295.772","315429062473.216",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817820519.691848","945063972.170098","1089709015.56605","1184009143.76311","1209048395.48426","1243428714.14083","1280188270.43026","1357410348.1684","1426103971.04044","1582570968.8756","1816523717.00824","1950177928.49676","2087411348.04669","2334359698.19964","2511731559.52683","2647973576.05119","2852778900.62825","3027914670.8921","3036025702.26212","3041105454.8324","3121692416.19805","3181952157.00315","3111180042.63032","3254281029.56249","3311248639.34568","3398842023.32131","3427875304.21987","3403846084.01415","3611095600.75079","4051189866.74028","3766995886.26518","4632002927.90342","5420414259.22409","5649093285.65844","5992221037.38175","6329375749.73197",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2068931682.95819","2063302183.82614","2109061166.96491","2224009319.33941","2285116526.82913","2435661677.43304","2544751275.5505","2707711381.44534","2844929975.5501","2982784269.89532","3334556050.29534","3655898957.693","3657845331.53398","3857284207.76503","4052955585.08507","4250016553.26822","4623961353.1832","4908105011.58792","4909322335.5732","4661665611.44762","4600224450.47064","4519405326.5993","4401060438.48103","4546789583.9929","4573359853.64919","4819676018.15066","5102072630.22836","5447424722.84928","5488075615.45772","5832740627.90402","5481895565.20419","5968282122.23483","6792769517.28578","7349441843.16393","7674101281.85475","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19940570633.5516","21700613524.8797","22560581468.3609","24081349018.5784","25743472352.1533","27512835099.7087","29238427029.0673","31216140385.955","33154582653.4672","33767287413.0701","35398184182.4941","36804696696.8351","38305660676.6158","40121036760.9218","42919321306.05","46222186140.78","49933262606.3093","53626977688.476","58020995959.033","60338636303.3639","63592192584.6249","68281842104.5854","75543727995.4098","86194974662.4211","93614432490.6754","96459271840.4801","103326049867.082","118215047306.154","123811713287.561","128447735965.211","113211838075.465","133727570900.831","148606710170.37","157983334173.324","160086293712.381","161966561766.575",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997458383735.056","1041834385676.53","1059778771294.99","1138326881868.88","1230679787774.03","1309554571155.77","1362985284296.84","1433558431103.95","1454571004231.75","1482057413782.18","1582133937048.61","1640243857281.68","1716595685799.06","1770456746615.2","1922785831229.13","2046574552589.01","2193273153859.33","2389430239736.88","2559535104736.67","2572081759774.35","2799325235275.62","2970630762031.72","2992140131462.41","3120542014211.78","3166808963772.23","2989121457677.6","2907889886422.24","2980287463645.1","3187189640213.37","3333775621511.96","3359777233364.89","3787769507585.78","4179567285874.62","4474720701758.22","4742602740468.06","4986894750790.25",
