Year,Consumer price index (1950=100),GDP price index (1950=100),PCE index (1950=100),Real estate price index (whole country),Real estate price index (West Germany),Equity price index,Equity total return index (dividend reinvested),Equity total real return index (CPI),Consumer price inflation,GDP price inflation,PCE inflation,Real estate price inflation (whole country),Real estate price inflation (West Germany),Equity price inflation,Equity total return (incl. dividend),Equity total real return (CPI)
1886,37.0,37.9,,,,116.1,292.3,268.9,-1.5%,-0.7%,,,,1.2%,5.8%,7.3%
1887,37.0,38.1,,,,118.9,313.3,288.4,0.0%,0.5%,,,,2.4%,7.2%,7.3%
1888,37.5,38.9,,,,136.1,375.3,340.5,1.4%,2.1%,,,,14.4%,19.8%,18.1%
1889,38.9,40.0,,,,165.8,480.4,420.0,3.7%,3.1%,,,,21.8%,28.0%,23.3%
1890,40.2,41.1,,,,161.1,492.8,417.5,3.3%,2.6%,,,,-2.8%,2.6%,-0.6%
1891,41.0,40.8,,,,139.6,452.8,376.3,2.0%,-0.7%,,,,-13.3%,-8.1%,-9.9%
1892,40.8,41.0,,,,133.2,455.9,381.0,-0.6%,0.6%,,,,-4.6%,0.7%,1.3%
1893,40.2,38.6,,,,133.8,480.6,406.8,-1.4%,-5.9%,,,,0.4%,5.4%,6.8%
1894,39.6,38.1,,,,143.8,541.6,465.3,-1.4%,-1.3%,,,,7.5%,12.7%,14.4%
1895,39.4,38.3,,,,162.3,640.8,555.0,-0.7%,0.4%,,,,12.8%,18.3%,19.3%
1896,38.5,38.9,,,,167.3,691.6,612.8,-2.2%,1.6%,,,,3.1%,7.9%,10.4%
1897,39.6,39.8,,,,176.8,770.3,664.2,2.7%,2.4%,,,,5.7%,11.4%,8.4%
1898,40.9,40.0,,,,182.3,838.2,697.3,3.5%,0.5%,,,,3.2%,8.8%,5.0%
1899,40.6,41.5,,,,186.2,903.3,758.4,-0.8%,3.8%,,,,2.1%,7.8%,8.8%
1900,41.5,42.9,,,,171.6,878.3,723.3,2.2%,3.3%,,,,-7.8%,-2.8%,-4.6%
1901,42.1,42.0,,,,153.8,829.8,672.8,1.4%,-2.1%,,,,-10.4%,-5.5%,-7.0%
1902,42.5,42.1,,,,154.6,874.3,700.7,1.1%,0.1%,,,,0.5%,5.4%,4.1%
1903,42.1,42.2,,,,161.2,953.0,770.5,-0.9%,0.4%,,,,4.3%,9.0%,10.0%
1904,42.4,42.4,,,,172.0,"1,069",857,0.7%,0.5%,,,,6.7%,12.2%,11.2%
1905,43.7,43.8,,,,188.3,"1,229",957,3.0%,3.2%,,,,9.4%,15.0%,11.7%
1906,46.7,46.0,,,,186.3,"1,278",933,6.8%,5.0%,,,,-1.0%,4.0%,-2.5%
1907,47.5,46.3,,,,171.8,"1,246",894,1.7%,0.6%,,,,-7.8%,-2.5%,-4.2%
1908,47.4,45.6,,,,166.9,"1,279",919,-0.3%,-1.5%,,,,-2.8%,2.6%,2.8%
1909,48.3,46.6,,,,177.1,"1,430","1,009",1.9%,2.3%,,,,6.1%,11.8%,9.7%
1910,49.3,48.3,,,,188.2,"1,596","1,102",2.1%,3.6%,,,,6.3%,11.6%,9.2%
1911,50.8,48.1,,,,189.6,"1,690","1,132",3.2%,-0.3%,,,,0.8%,5.9%,2.8%
1912,53.6,49.3,,,,189.2,"1,776","1,128",5.4%,2.5%,,,,-0.2%,5.1%,-0.3%
1913,53.9,49.6,,,,182.1,"1,799","1,136",0.6%,0.6%,,,,-3.7%,1.3%,0.7%
1914,55.6,51.2,,,,167.8,"1,745","1,083",3.1%,3.1%,,,,-7.9%,-3.0%,-4.7%
1915,69.6,64.1,,,,153.1,"1,660",812,25.2%,25.2%,,,,-8.7%,-4.9%,-25.0%
1916,90.7,83.5,,,,178.1,"2,015",761,30.3%,30.3%,,,,16.3%,21.3%,-6.3%
1917,135.2,124.4,,,,215.3,"2,566",648,49.0%,49.0%,,,,20.9%,27.4%,-14.8%
1918,162.1,149.1,,,,220.0,"2,737",579,19.9%,19.9%,,,,2.2%,6.7%,-10.6%
1919,222.2,204.4,,,,162.6,"2,134",332,37.1%,37.1%,,,,-26.1%,-22.0%,-42.6%
1920,545.4,501.7,,,,317.1,"4,339",273,145.4%,145.4%,,,,95.0%,103.4%,-18.0%
1921,717,660,,,,667.8,"9,513",431,31.5%,31.5%,,,,110.6%,119.2%,58.0%
1922,"12,932","11,896",,,,,,302,1703%,1703%,,,,,,-29.8%
1923,4.E+12,3.E+12,,,,,,401,3.E+08,3.E+08,,,,,,32.6%
1924,68.5,63.0,,,,40.8,626,312,-100.0%,-100.0%,,,,,,-22.1%
1925,74.9,68.9,,,,44.3,722,330,9.4%,9.4%,,,,8.6%,15.5%,5.7%
1926,75.7,70.8,,,,53.5,925,415,1.1%,2.7%,,,,20.7%,28.1%,25.9%
